iter	MultiClass
0	1.281409553
1	1.196418452
2	1.120536903
3	1.05334564
4	0.995587731
5	0.9441235067
6	0.896256715
7	0.8537035779
8	0.8144288288
9	0.7800421628
10	0.7488372539
11	0.7187082112
12	0.6906665275
13	0.6647430259
14	0.6408117978
15	0.6183096535
16	0.5978168717
17	0.5783115977
18	0.5598346704
19	0.5424184823
20	0.5269138517
21	0.5122855087
22	0.4981935741
23	0.4855767221
24	0.4733022
25	0.4614124711
26	0.4501763344
27	0.4401788023
28	0.4303353175
29	0.4203896395
30	0.410950009
31	0.4029932468
32	0.3950617439
33	0.3874096098
34	0.379934147
35	0.3728122286
36	0.3661816164
37	0.3604928104
38	0.3545441206
39	0.3484647897
40	0.3432391286
41	0.33821184
42	0.3331928469
43	0.328190027
44	0.3234761503
45	0.3188917376
46	0.3149630082
47	0.3112411738
48	0.3068818798
49	0.3032642865
50	0.2998353918
51	0.2964501344
52	0.2932800495
53	0.2902720555
54	0.2872647818
55	0.2842729481
56	0.2816009127
57	0.279178681
58	0.2766583446
59	0.2740663865
60	0.2716318945
61	0.2692372312
62	0.2670912458
63	0.2648853469
64	0.2627392503
65	0.2608885542
66	0.2593599043
67	0.2577299835
68	0.2564004713
69	0.2545467877
70	0.2528723877
71	0.2519742033
72	0.2508265973
73	0.2494994564
74	0.247862763
75	0.2463868173
76	0.2451663748
77	0.2438247712
78	0.2428367276
79	0.2418219366
80	0.2405050798
81	0.2394154572
82	0.2382141503
83	0.2371877456
84	0.2363161683
85	0.2354695344
86	0.2344862661
87	0.2330888623
88	0.2322381874
89	0.2311848108
90	0.2301731077
91	0.2291568146
92	0.2287319008
93	0.2278273055
94	0.2267886762
95	0.2258209647
96	0.2246760544
97	0.2237444159
98	0.2229517985
99	0.222094303
100	0.2214075571
101	0.2207040895
102	0.2199374694
103	0.2192650881
104	0.2185084006
105	0.2178213918
106	0.2172560994
107	0.2167329933
108	0.2161590305
109	0.215271592
110	0.2144228064
111	0.2136908242
112	0.2129310902
113	0.2123941686
114	0.2116667271
115	0.2110929258
116	0.2104875089
117	0.2098359254
118	0.2093310347
119	0.2087606892
120	0.2081323066
121	0.207521705
122	0.2068279749
123	0.2061697076
124	0.205830099
125	0.2052857186
126	0.2045317994
127	0.2039869345
128	0.2033835753
129	0.2026708564
130	0.2021156708
131	0.2014858238
132	0.2010253818
133	0.2006396647
134	0.200255254
135	0.1999320477
136	0.1995132536
137	0.1988762448
138	0.1984098324
139	0.1979547123
140	0.1974221958
141	0.1969158063
142	0.1965156598
143	0.1962336672
144	0.1956862826
145	0.1952649387
146	0.1947219953
147	0.1942326863
148	0.1938481599
149	0.1933739648
150	0.192985346
151	0.1925645334
152	0.1921181195
153	0.1915978664
154	0.191246628
155	0.1907406488
156	0.1903753758
157	0.1900209136
158	0.1896810685
159	0.1891886566
160	0.1887815445
161	0.1885176861
162	0.1882919437
163	0.1880006831
164	0.1877746376
165	0.1872453728
166	0.186773985
167	0.1865500349
168	0.1861783387
169	0.1857478435
170	0.1853242793
171	0.1848433378
172	0.1845157684
173	0.1841826564
174	0.1839461534
175	0.1836132173
176	0.1833573833
177	0.1830407828
178	0.1827710605
179	0.1824687041
180	0.1822365056
181	0.1818407528
182	0.1814985339
183	0.1810094419
184	0.1805642891
185	0.1802582039
186	0.1798553694
187	0.1795535306
188	0.1795535004
189	0.1791724016
190	0.1789941286
191	0.1788193446
192	0.1787169907
193	0.1785516457
194	0.1783450911
195	0.1780616086
196	0.177927124
197	0.1775230309
198	0.1772194511
199	0.1769986892
200	0.1766717079
201	0.1762610455
202	0.1758552911
203	0.1755762542
204	0.1754177629
205	0.1753557848
206	0.1751915738
207	0.1747997226
208	0.1746142324
209	0.1743177319
210	0.174108716
211	0.1738656664
212	0.1736580604
213	0.1734099589
214	0.1730846298
215	0.172874066
216	0.1726169871
217	0.1723299646
218	0.1720794219
219	0.1716664363
220	0.1714616333
221	0.1711146737
222	0.1710046081
223	0.1707775061
224	0.1705877851
225	0.1703315975
226	0.1700684211
227	0.1698020282
228	0.1695070691
229	0.1692132202
230	0.1687825116
231	0.1684929291
232	0.1682307651
233	0.168060602
234	0.1678932023
235	0.1677126526
236	0.1674400316
237	0.1672892151
238	0.1671253078
239	0.1668679765
240	0.1667363484
241	0.1664587228
242	0.1661239181
243	0.1658773937
244	0.1655402154
245	0.1652345095
246	0.1649804906
247	0.1647432999
248	0.1645534216
249	0.164363469
250	0.1641390697
251	0.1639189845
252	0.1636438634
253	0.1634227539
254	0.1631575173
255	0.1629457146
256	0.1627662098
257	0.1623835594
258	0.1621692964
259	0.161806272
260	0.1616172407
261	0.1615239725
262	0.1612626528
263	0.1610811854
264	0.1607607055
265	0.1605653613
266	0.1602518257
267	0.1600692944
268	0.1598501969
269	0.1595206317
270	0.1594033977
271	0.1592684543
272	0.1591500288
273	0.1589402831
274	0.1586454066
275	0.1584517568
276	0.1582573088
277	0.1580838865
278	0.1579469199
279	0.1576482122
280	0.1574554791
281	0.1571235874
282	0.1569164945
283	0.1567648258
284	0.1565580716
285	0.1563746921
286	0.1562238829
