student_code,subject_id,school_year_id,semester_index,evaluated_at_week,subject_category,grade_level,weighted_early_avg,weighted_late_avg,score_slope,score_volatility,max_drop,last_score,max_coefficient_so_far,high_weight_score_count,last_high_weight_score,lms_avg_score,lms_recent_drop,lms_submission_rate,lms_recent_submission_rate,lms_gradebook_gap,daily_absence_rate,unexcused_absent_rate,excused_absent_days,total_late_count,total_demerit_points,repeat_offense_count,severe_sanction_count,actual_final_grade,actual_risk_level,is_at_risk
HS190001,106,2025,1,5,MATH_SCIENCE,9,5.8,6.02,0.0,0.0,0.0,5.76,0.97,0,5.99,6.72,0.17,0.6224,0.5163,0.72,0.1569,0.0834,2,1,1.19,1,0,6.8,LOW,0
HS190001,2,2025,1,5,HUMANITIES,9,3.39,3.35,0.0,0.0,0.0,3.44,0.96,0,3.3,6.59,-0.63,0.8065,0.7303,3.5,0.1645,0.0826,2,1,1.24,1,0,5.4,MODERATE,0
HS190001,3,2025,1,5,HUMANITIES,9,3.16,3.32,0.0,0.0,0.0,3.07,0.99,0,3.17,6.39,0.15,1.0,0.9943,3.5,0.161,0.0818,2,1,1.23,1,0,5.5,MODERATE,0
HS190001,7,2025,1,5,MATH_SCIENCE,9,5.67,5.95,0.0,0.0,0.0,6.12,0.97,0,6.03,6.38,0.01,0.8045,0.7549,0.64,0.1621,0.0797,2,1,1.24,1,0,6.8,LOW,0
HS190001,8,2025,1,5,HUMANITIES,9,3.14,3.35,0.0,0.0,0.0,3.25,1.0,0,3.21,6.0,0.2,0.9727,0.9826,2.87,0.1622,0.0785,2,1,1.24,1,0,5.3,MODERATE,0
HS190001,4,2025,1,5,MATH_SCIENCE,9,5.63,6.19,0.0,0.0,0.0,6.01,0.97,0,5.98,5.97,-0.41,1.0,1.0,-0.05,0.1534,0.0831,2,1,1.23,1,0,6.8,LOW,0
HS190001,5,2025,1,5,MATH_SCIENCE,9,5.83,5.55,0.0,0.0,0.0,5.81,0.97,0,6.03,5.73,0.22,0.9877,0.9741,-0.31,0.1579,0.0806,2,1,1.29,1,0,6.9,LOW,0
HS190001,6,2025,1,5,MATH_SCIENCE,9,5.26,5.4,0.0,0.0,0.0,5.56,0.97,0,5.23,6.22,-0.05,0.7981,0.7391,0.9,0.1608,0.0817,2,1,1.26,1,0,6.8,LOW,0
HS190001,13,2025,1,5,TECHNOLOGY,9,5.88,5.83,0.0,0.0,0.0,5.62,1.05,0,5.72,6.04,-0.12,1.0,0.9936,0.53,0.1543,0.0832,2,1,1.2,1,0,7.0,LOW,0
HS190001,14,2025,1,5,TECHNOLOGY,9,5.59,5.35,0.0,0.0,0.0,5.32,0.99,0,5.63,6.96,0.13,0.7828,0.7256,1.5,0.165,0.0821,2,1,1.27,1,0,7.0,LOW,0
HS190001,9,2025,1,5,HUMANITIES,9,3.53,3.54,0.0,0.0,0.0,3.53,1.03,0,3.66,5.98,-0.49,0.8218,0.7852,2.46,0.166,0.0825,2,1,1.2,1,0,5.5,MODERATE,0
HS160002,106,2025,1,5,MATH_SCIENCE,6,5.07,5.16,0.0,0.0,0.0,5.21,1.02,0,5.03,8.93,0.37,0.7916,0.7368,3.97,0.0394,0.0382,0,2,0.88,0,0,7.2,LOW,0
HS160002,2,2025,1,5,HUMANITIES,6,5.5,5.64,0.0,0.0,0.0,5.52,1.03,0,5.9,8.56,0.0,0.7962,1.0,3.08,0.0407,0.041,0,2,0.84,0,0,8.0,LOW,0
HS160002,3,2025,1,5,HUMANITIES,6,6.19,5.85,0.0,0.0,0.0,6.12,1.01,0,5.84,7.9,0.34,0.7782,0.7283,2.19,0.0406,0.0399,0,2,0.86,0,0,7.9,LOW,0
HS160002,7,2025,1,5,MATH_SCIENCE,6,4.47,4.41,0.0,0.0,0.0,4.4,1.01,0,4.64,8.92,0.03,1.0,1.0,4.27,0.0415,0.0402,0,2,0.84,0,0,7.0,LOW,0
HS160002,8,2025,1,5,HUMANITIES,6,5.72,6.14,0.0,0.0,0.0,5.95,0.98,0,5.95,8.65,0.25,1.0,0.9509,3.04,0.0388,0.0407,0,2,0.87,0,0,7.9,LOW,0
HS160002,4,2025,1,5,MATH_SCIENCE,6,4.24,4.44,0.0,0.0,0.0,4.47,1.04,0,4.6,9.58,0.15,0.7989,0.7563,5.06,0.0413,0.0388,0,2,0.87,0,0,7.1,LOW,0
