"table_schema","table_name","ordinal_position","column_name","data_type"
"default","stg_so_exam_moet_path","1","gradebook_type_item_id","bigint"
"default","stg_so_exam_moet_path","2","parent_id","bigint"
"default","stg_so_exam_moet_path","3","gradebook_type_items_fullname","varchar"
"default","stg_so_exam_moet_path","4","level","integer"
"default","stg_so_exam_moet_path","5","path","varchar"
"default","stg_so_exam_moet_path","6","id_path","varchar"
"default","stg_so_strand_path","1","strand_id","bigint"
"default","stg_so_strand_path","2","parent_id","integer"
"default","stg_so_strand_path","3","strand_name","varchar"
"default","stg_so_strand_path","4","level","integer"
"default","stg_so_strand_path","5","path","varchar"
"default","stg_so_strand_path","6","id_path","varchar"
"default","stg_so_strand_path","7","subject_id","integer"
"default","stg_so_strand_path","8","subject_name","varchar"
"default","stg_so_students","1","id","decimal(20,0)"
"default","stg_so_students","2","code","varchar"
"s360","dim_behavior","1","id","bigint"
"s360","dim_behavior","2","code","varchar"
"s360","dim_behavior","3","name","varchar"
"s360","dim_behavior","4","group_code","varchar"
"s360","dim_behavior","5","group_name","varchar"
"s360","dim_behavior","6","point","double"
"s360","dim_behavior","7","point_min","integer"
"s360","dim_behavior","8","point_max","integer"
"s360","dim_behavior","9","is_duplicate_behavior","integer"
"s360","dim_behavior","10","count_duplicate_behavior","integer"
"s360","dim_behavior","11","scope_duplicate_behavior","integer"
"s360","dim_behavior","12","point_duplicate_behavior","double"
"s360","dim_behavior","13","is_behavior_solve","integer"
"s360","dim_behavior","14","is_apply_student","integer"
"s360","dim_behavior","15","is_apply_teacher","integer"
"s360","dim_behavior","16","is_apply_homeroom_class","integer"
"s360","dim_behavior","17","convert_behavior_id","integer"
"s360","dim_behavior","18","created_at","varchar"
"s360","dim_behavior","19","updated_at","varchar"
"s360","dim_course","1","id","bigint"
"s360","dim_course","2","so_school_id","integer"
"s360","dim_course","3","school_year_id","integer"
"s360","dim_course","4","grade_id","integer"
"s360","dim_course","5","subject_id","integer"
"s360","dim_course","6","homeroom_class_id","integer"
"s360","dim_course","7","code","varchar"
"s360","dim_course","8","name","varchar"
"s360","dim_course","9","type","varchar"
"s360","dim_course","10","max_student","integer"
"s360","dim_course","11","start_date","date"
"s360","dim_course","12","end_date","date"
"s360","dim_course","13","description","varchar"
"s360","dim_course","14","status","varchar"
"s360","dim_course","15","is_online_training","integer"
"s360","dim_course","16","is_locked","integer"
"s360","dim_course","17","is_extracurricular_activity","integer"
"s360","dim_course","18","extracurricular_activity_id","integer"
"s360","dim_course","19","el_course_id","bigint"
"s360","dim_course","20","created_at","varchar"
"s360","dim_course","21","updated_at","varchar"
"s360","dim_exam","1","id","bigint"
